no,which,ampm,borough,cause,date,fulldate,message,subject,time,train,,
0,NYC,AM,MANH,signal problems,2/6/2019,2/6/2019 9:17:15 AM,"Some southbound R trains are running on the F line from Jackson Hts-Roosevelt Av to W 4 St-Wash Sq, then via the D line to DeKalb Av because of a signal problem at Lexington Av-59 St.

Expect delays on D, F, N, R and W lines.",manh n r and w trains,9:17:15,"N, R, W",,
0,NYC,AM,BKLYN,signal problems,2/9/2019,2/9/2019 7:27:19 AM,F and G trains are delayed in both directions because of signal problems between Jay St-MetroTech and Bergen St.,bklyn f and g trains sigmal problems,7:27:19,"F, G",,
2,NYC,PM,BKLYN,smoke condition,2/11/2019,2/11/2019 4:41:16 PM,"Northbound C trains are running express from Broadway Junction to Hoyt-Schermerhorn while we request FDNY to respond to a smoke condition at Franklin Av.

Expect delays in A and C train service.

For service to/from bypassed stations, please use southbound C trains.",bklyn c train smoke condition,4:41:16,C,other,
29,NYC,PM,QNS,someone in need of assistance,2/9/2019,2/9/2019 11:33:25 PM,Church Av-bound G trains are proceeding with delays after we investigated reports of someone in need of assistance at Court Sq.,qns g train assistance,11:33:25,G,,
29,NYC,PM,BKLYN,stalled train,2/28/2019,2/28/2019 10:27:12 PM,"D trains are experiencing service changes and delays because of a stalled train at Stillwell Av. 

D trains are not running between Bay Parkway and Coney Island-Stillwell Av in both directions.

Some northbound D trains are running on the N line from Coney Island-Stillwell Av to 36 St (BKLYN).

The last stop on southbound D trains will be Bay Parkway.",bklyn d and n trains stalled train,10:27:12,"D, N",,
!,NYC,AM,BKLYN,strong winds are causing a pole to swing in the path of trains,2/25/2019,2/25/2019 8:46:00 AM,"Southbound Q trains are running express from Kings Hwy to Sheepshead Bay Rd because strong winds are causing a pole to swing in the path of trains at Neck Rd. 

We are working to secure the pole ASAP.

Expect delays in B and Q train service.",bklyn b and q trains swinging pole,8:46:00,"B, Q",,
41,NYC,AM,MANH,struck by train,2/17/2019,2/17/2019 8:37:10 AM,"There are delays and service changes in A, C and E train service because someone was struck by a train at the 42 St-Port Authority Bus Terminal local track.

Northbound C trains are making express stops from Canal St to 59 St-Columbus Circle.

Northbound E trains are making express stops from Canal St to 42 St-Port Authority Bus Terminal.

For service to/from the bypassed stations, take a southbound train C or E train.",manh a c and e trains struck by train,8:37:10,"A, C, E",person,
19,NYC,PM,MANH,struck by train,2/2/2019,2/2/2019 2:51:52 PM,"Northbound 1, 2, and 3 trains are running on the local track with delays while NYPD and EMS respond to reports of a passenger struck by a train at 96 St.",manh 2 and 3 trains passenger struck by train,2:51:52,"2, 3",person,
18,NYC,PM,BX,struck by train,2/22/2019,2/22/2019 11:19:18 PM,D trains are delayed in both directions because someone was struck by a train at 174-175 Sts.,bx d trains person struck by a train,11:19:18,"D, A",person,
6,NYC,AM,BX,struck by train,2/23/2019,2/23/2019 6:42:11 AM,Brooklyn Bridge-bound 6 trains are delayed because someone was struck by a train at Brook Av.,bx 6 train person struck by train,6:42:11,6,person,
32,NYC,AM,BKLYN,struck by train,2/10/2019,2/10/2019 6:34:54 AM,Southbound A trains are delayed because someone was struck by a train at Utica Av.,bklyn a trains struck by train,6:34:54,A,person,
26,NYC,PM,MANH,struck by train,2/19/2019,2/19/2019 7:48:41 PM,"There are delays and service changes in 7 and 7 express service in both directions between Manhattan and Queens because of a person on the tracks being struck by a train at Grand Central-42 St.

There is no 7 train service in either direction between 34 St-Hudson Yards and Hunters Point Av. 
There is reduced 7 train service between Hunters Point Av and Flushing-Main St. 
7 train express service is suspended.

The LIRR is accommodating NYCTransit Metrocard holders at no additional charge at Penn Station, Woodside, and Flushing-Main St.
See a station agent to receive a courtesy pass for continuing train or bus service.",manh 7 trains struck customer,7:48:41,7,,
33,NYC,AM,BKLYN,surfing,2/21/2019,2/21/2019 8:46:22 AM,Northbound A and C trains are running with delays because someone was riding on top of a train car near Clinton Washington Avs.,bklyn a and c trains person riding on top of train,8:46:22,"A, C",,
37,NYC,AM,QNS,switch problems,2/26/2019,2/26/2019 10:30:39 AM,Queens-bound N and 7 trains are running at slower speeds near Queensboro Plaza while we perform urgent switch maintenance near that station.,qns n and 7 trains switch maintenance,10:30:39,"N, 7",train,
35,NYC,AM,QNS,switch problems,2/13/2019,2/13/2019 6:36:52 AM,Jamaica-bound F trains are delayed because of a switch problem at Parsons Blvd.,qns f train switch problem,6:36:52,F,train,
7,NYC,AM,QNS,switch problems,2/23/2019,2/23/2019 2:59:55 AM,"Southbound F trains are running over the E line from Jackson Hts-Roosevelt Av to 47/50 Sts-Rockefeller Ctr while our crews perform switch maintenance at 21 St-Queensbridge.

Expect delays in both E and F train service.",qns f train switch maintenance,2:59:55,F,train,
17,NYC,AM,QNS,switch problems,2/18/2019,2/18/2019 8:51:09 AM,Jamaica-bound E trains are running with delays as our crews work to correct a switch malfunction at Queens Plaza.,qns e train switch malfunction,8:51:09,E,train,
25,NYC,PM,QNS,switch problems,2/19/2019,2/19/2019 12:55:52 PM,"Northbound E M and R trains are delayed because of a switch problem at Queens Plaza.

You may also experience delays in N trains.",qns e m and r trains switch problem,12:55:52,"E, M, R",train,
2,NYC,AM,QNS,switch problems,2/1/2019,2/1/2019 1:03:02 AM,E and F trains are delayed in both directions because of a switch problem at 75 Av.,qns e and f trains switch problem,1:03:02,"E, F",train,
22,NYC,AM,QNS,switch problems,2/7/2019,2/7/2019 5:57:17 AM,Southbound E and F trains are delayed because of a switch malfunction at Forest Hills-71 Av.,qns e and f trains switch malfunction,5:57:17,"E, F",train,
17,NYC,PM,QNS,switch problems,2/11/2019,2/11/2019 6:02:19 PM,7 trains are running with delays in both directions because of switch problems at Flushing-Main St.,qns 7 trains switch problems,6:02:19,7,train,
24,NYC,AM,QNS,switch problems,2/23/2019,2/23/2019 1:29:10 AM,7 trains are delayed in both directions because of a switch problem at Flushing-Main St.,qns 7 trains switch problem,1:29:10,7,train,
18,NYC,PM,QNS,switch problems,2/22/2019,2/22/2019 2:06:09 PM,"There is reduced 7 train service between Flushing-Main St and Mets-Willets Pt because of a switch problem near Flushing-Main St.

The last stop for some Main St-bound 7 trains will be Mets-Willets Pt.

Expect delays in both directions.",qns 7 trains switch problem,2:06:09,7,train,
30,NYC,PM,QNS,switch problems,2/16/2019,2/16/2019 1:51:25 PM,"7 trains have delays and service changes because of a problem with a switch near Flushing-Main St.

Some Flushing-bound 7 trains will end at 74 St-Broadway.

Expect delays in both directions.",qns 7 trains switch problem,1:51:25,7,train,
34,NYC,AM,QNS,switch problems,2/9/2019,2/9/2019 1:12:39 AM,"7 trains are delayed in both directions because of a switch malfunction at Hunters Point Av. 

For service between Queens and Manhattan, consider taking E, F, or N train service.",qns 7 trains switch malfunction,1:12:39,7,train,
30,NYC,PM,QNS,switch problems,2/1/2019,2/1/2019 11:52:21 PM,7 trains are delayed in both directions because of a switch malfunction at Hunters Point Av.,qns 7 trains switch malfunction,11:52:21,7,train,
39,NYC,PM,QNS,switch problems,2/4/2019,2/4/2019 3:40:48 PM,"Flushing-Main St-bound 7 express trains are running local from Queensboro Pl to Flushing-Main St while crews correct a switch problem at 33 St-Rawson St.

Expect delays in 7 and 7 express service.",qns 7 train switch problem,3:40:48,7,train,
39,NYC,AM,QNS,switch problems,2/12/2019,2/12/2019 10:42:31 AM,7 trains are delayed while our crews work to fix a switch malfunction at Flushing-Main St.,qns 7 train switch malfunction,10:42:31,7,train,
7,NYC,AM,MANH,switch problems,2/5/2019,2/5/2019 12:27:55 AM,"Brooklyn-bound F trains are stopping along the E line from Queens Plaza to W 4 St-Washington Sq because of a switch malfunction at 47-50 Sts-Rockefeller Center.

Expect delays on southbound E and F train service.",manh f trains switch malfunction,12:27:55,F,train,
48,NYC,PM,MANH,switch problems,2/8/2019,2/8/2019 4:44:47 PM,Southbound F and Metropolitan Av-bound M trains are running with delays because of switch problems at B'way-Lafayette St.,manh f and m trains switch problems,4:44:47,"F, M",train,
1,NYC,AM,MANH,switch problems,2/4/2019,2/4/2019 6:38:02 AM,C trains are delayed in both directions because of a switch problem at 207 St Yard.,manh c trains switch problem,6:38:02,C,train,
41,NYC,AM,MANH,switch problems,2/9/2019,2/9/2019 12:58:46 AM,"Bronx-bound 6 trains are running express from Grand Central-42 St to 125 St because of a switch problem at Grand Central-42 St. 

Trains stop at the lower-level platforms at 59 St and 86 St. 

For bypassed stations, take a downtown 4 or 6 train.",manh 6 trains switch problem,12:58:46,6,train,
27,NYC,AM,MANH,switch problems,2/7/2019,2/7/2019 1:11:35 AM,"4 trains are not running between Brooklyn Bridge and Borough Hall because of a switch problem at Bowling Green.

For service between Manhattan and Brooklyn, consider taking an N R or 2 train.",manh 4 trains switch problem,1:11:35,4,train,
10,NYC,AM,MANH,switch problems,2/7/2019,2/7/2019 2:04:33 AM,4 train service has resumed with delays after we corrected a switch malfunction at Bowling Green.,manh 4 trains switch malfunction,2:04:33,4,train,
35,NYC,AM,MANH,switch problems,2/28/2019,2/28/2019 3:57:47 AM,Northbound 2 trains are running express from 72 St to 96 St while crews perform switch maintenance at 96 St.,manh 2 trains switch maintenance,3:57:47,2,train,
37,NYC,AM,MANH,switch problems,2/24/2019,2/24/2019 3:37:59 AM,2 and 3 trains are delayed in both directions because of a switch problem near 135 St.,manh 2 and 3 trians switch problem,3:37:59,"2, 3",train,
38,NYC,AM,MANH,switch problems,2/26/2019,2/26/2019 6:21:44 AM,"Northbound 1 trains are running express from Dyckman St to 242 St-Van Cortlandt because of a switch problem at 207 St.

For service to/from the bypassed stations, take a southbound train.",manh 1 trains switch problem,6:21:44,1,train,
23,NYC,AM,MANH,switch problems,2/15/2019,2/15/2019 12:41:29 AM,South Ferry-bound 1 trains are delayed because of a switch problem at Dyckman St.,manh 1 trains switch problem,12:41:29,1,train,
33,NYC,PM,MANH,switch problems,2/26/2019,2/26/2019 8:02:21 PM,1 trains are running with delays in both directions because of a switch malfunction at South Ferry.,manh 1 trains switch malfunction,8:02:21,1,train,
23,NYC,AM,MANH,switch problems,2/28/2019,2/28/2019 4:24:33 AM,1 trains are delayed in both directions while crews perform switch maintenance at South Ferry.,manh 1 trains switch maintenance,4:24:33,1,train,
21,NYC,PM,MANH,switch problems,2/23/2019,2/23/2019 12:30:09 PM,Van Cortlandt-bound 1 trains are delayed while we perform switch maintenance at 137 St-City College.,manh 1 train switch maintenance,12:30:09,1,train,
11,NYC,AM,MANH,switch problems,2/8/2019,2/8/2019 1:14:08 AM,"Southbound 2 trains are running express from 96 St to Times Sq-42 St while our crews replace a switch at 72 St.

Downtown 1 trains are making local stops.

Expect delays in southbound 1 and 2 train service.",manh 1 and 2 trains switch replacement.,1:14:08,"1, 2",train,
5,NYC,AM,BX,switch problems,2/24/2019,2/24/2019 5:03:00 AM,"Brooklyn Bridge-bound 6 trains are running express from Pelham Bay Park to Parkchester because of a switch problem at Pelham Bay Park.

For service to/from bypassed stations, consider taking a Pelham Bay Park-bound train.",bx 6 train switch problem,5:03:00,6,train,
34,NYC,AM,BX,switch problems,2/26/2019,2/26/2019 6:31:14 AM,Southbound 6 express trains are making local stops from Parkchester to Hunts Point Av because of a switch problem at Parkchester.,bx 6 express trains switch problem,6:31:14,6,train,
41,NYC,AM,BX,switch problems,2/1/2019,2/1/2019 1:30:31 AM,4 trains are delayed in both directions because of a switch problem at Kingsbridge Road.,bx 4 trains switch problem,1:30:31,4,train,
7,NYC,AM,BX,switch problems,2/15/2019,2/15/2019 11:35:31 AM,Some northbound 4 trains will end at 149 St-Grand Concourse or Burnside Av because of switch problems at Mosholu Pkwy.,bx 4 train switch problems,11:35:31,4,train,
43,NYC,PM,BX,switch problems,2/10/2019,2/10/2019 8:44:49 PM,Southbound 4 trains are delayed while crews correct a switch problem at Bedford Pk Blvd-Lehman College.,bx 4 train switch problem,8:44:49,4,train,
3,NYC,AM,BX,switch problems,2/1/2019,2/1/2019 7:50:18 AM,Northbound 2 and 5 trains are delayed because of a switch problem at E 180 St.,bx 2 and 5 trains switch problem,7:50:18,"2, 5",train,
43,NYC,PM,BX,switch problems,2/4/2019,2/4/2019 12:30:07 PM,Northbound 2 and 5 trains are delayed because of a switch malfunction at E 180 St.,bx 2 and 5 trains switch malfunction,12:30:07,"2, 5",train,
30,NYC,PM,BKLYN,switch problems,2/18/2019,2/18/2019 3:09:07 PM,Northbound Q trains are running with delays because of switch problems at Prospect Park.,bklyn q trains switch problems,3:09:07,Q,train,
40,NYC,AM,BKLYN,switch problems,2/10/2019,2/10/2019 5:39:27 AM,Astoria-bound N trains are delayed because of a switch problem at 86 St.,bklyn n trains switch problems,5:39:27,N,train,
36,NYC,AM,BKLYN,switch problems,2/10/2019,2/10/2019 2:13:31 AM,"Astoria-bound N trains are running on the D line from Coney Island-Stillwell Av to 36 St (BKLYN)  and then express to Atlantic Av-Barclays Center while our crews conduct switch maintenance near 36 St.

Whitehall-bound R trains are holding in stations.",bklyn n q r trains switch maintenance,2:13:31,"N, Q, R",train,
4,NYC,AM,BKLYN,switch problems,2/11/2019,2/11/2019 8:28:17 AM,"Some Coney Island-bound N trains are running on the local track from Atlantic Av-Barclays Center to 36 St because of a switch problem near DeKalb Av.

Expect delays in N and R train service.",bklyn n and r trains switch problem,8:28:17,"N, R",train,
44,NYC,AM,BKLYN,switch problems,2/16/2019,2/16/2019 8:21:14 AM,L trains are delayed in both direction because of a switch malfunction at Canarsie-Rockaway Pkwy.,bklyn l trains switch malfunction,8:21:14,L,train,
16,NYC,PM,BKLYN,switch problems,2/21/2019,2/21/2019 4:39:34 PM,L trains are delayed in both directions while our crews respond to a switch problem at Canarsie-Rockaway Pkwy.,bklyn l train switch problem,4:39:34,L,train,
28,NYC,PM,BKLYN,switch problems,2/3/2019,2/3/2019 10:20:04 PM,Northbound J trains are running with delays because of a switch malfunction at Broadway Junction.,bklyn j trains switch malfunction,10:20:04,J,train,
13,NYC,PM,BKLYN,switch problems,2/12/2019,2/12/2019 12:13:57 PM,"There are service changes and delays in F and G train service because of a switch malfunction at Bergen St.

There is no G train service in either direction between Bedford-Nostrand Av and 4 Av.

Jamaica-bound F trains are running express from 4 Av-9 St to Jay St-Metrotech.

Coney Island-bound F trains are running express from Jay St-Metrotech to 7 Av.

Expect delays in F and G train service in both directions.",bklyn f and g trains switch malfunction,12:13:57,"F, G",train,
36,NYC,AM,BKLYN,switch problems,2/13/2019,2/13/2019 8:19:17 AM,"Southbound D trains will make station stops at DeKalb Av because of a switch problem near that station. 

Expect delays in B and D train service.",bklyn d trains switch problem,8:19:17,D,train,
35,NYC,PM,BKLYN,switch problems,2/4/2019,2/4/2019 9:13:37 PM,Northbound D trains are delayed while crews correct a switch problem at DeKalb Av.,bklyn d train switch problem,9:13:37,D,train,
11,NYC,AM,BKLYN,switch problems,2/17/2019,2/17/2019 2:21:06 AM,"Northbound D, N and R trains are delayed because of a switch problem at 36 St.",bklyn d n and r trains switch problem,2:21:06,"D, N, R",train,
9,NYC,PM,BKLYN,switch problems,2/4/2019,2/4/2019 10:39:41 PM,"Northbound D, N, and R trains have service changes and delays while crews correct a switch problem at DeKalb Av.

Northbound D trains are stopping along the F line from Coney Island-Stillwell Av to Broadway Lafayette.

Northbound N trains are stopping along the Q line from Coney Island-Stillwell Av to Canal St.

The last stop for some southbound D trains will be 2 Av on the F line.

The last stop for Manhattan-bound R trains is 36 St (BKLYN).


See a station agent to receive a courtesy pass for continuing train or bus service.

Alternate Service Options:

.    For service along 4 Av, consider taking the nearby B37 bus on 3 Av: http://bit.ly/2KvMzYY or the nearby B63 bus on 5 Av: http://bit.ly/2A2yPO7

.    For service from 4 Av-9 St, consider using the F train into Manhattan.

Crosstown Bus Alternatives:

As a result of possible crowding conditions caused by customers coming from the subway along 4 Av in Brooklyn, consider taking a crosstown bus, such as the B35, B11, B9, or B1, which are not experiencing as high volumes of travel as the buses along 3 Av and 5 Av.

.    The B35 operates in both directions near 36 St (Bklyn) on the D, N, and R lines, and along Church Av near the F and G, B and Q, as well as the 2 and 5 lines. https://bustime.mta.info/#b35

.    The B11 operates in both directions near 53 St on the R line, 50 St on the D line, Avenue J on both the F and the Q lines, as well as the Flatbush Av-Brooklyn College on the 2 and 5 lines. https://bustime.mta.info/#b11

.    The B9 operates in both directions near 59 St on the N and R line, adjacent to the N line along 60 St, near 62 St on the D line, Avenue N on the F line, and Avenue M on the Q line. https://bustime.mta.info/#b9

.    The B1 operates in both directions by 86 St on the R line, along the D line between 18 Av and 25 Av, 86 St on the N line, Avenue X on the F line, and between Ocean Pkwy and Brighton Beach on the B and Q lines. https://bustime.mta.info/#b1",bklyn d n and r trains switch problem,10:39:41,"D, N, R",train,
14,NYC,AM,BKLYN,switch problems,2/12/2019,2/12/2019 5:22:00 AM,Northbound 4 trains are running express from Franklin Av to Nevins St because of a switch malfunction at Atlantic Av-Barclays Ctr.,bklyn 4 trains switch malfunction,5:22:00,4,train,
26,NYC,AM,BKLYN,switch problems,2/12/2019,2/12/2019 5:00:04 AM,Northbound 2 and 4 trains are delayed because of a switch malfunction at Nevins St.,bklyn 2 and 4 trains switch malfunction,5:00:04,"2, 4",train,
16,NYC,PM,QNS,technical issues (server),2/12/2019,2/12/2019 2:05:08 PM,"There are service changes and delays on F and M trains while we fix technical issues with the server at the Queensboro Tower.

F trains are running on the E line between Jackson Hts-Roosevelt Av and 5 Av in both directions.

M trains are running on the F line between Jackson Hts-Roosevelt Av and 47-50 Sts-Rockefeller Ctr in both directions.

Expect delays in E, F, M and R train service.",qns f and m trains technical issues,2:05:08,"F, M",,
19,NYC,PM,BX,third rail repair,2/20/2019,2/20/2019 10:36:45 PM,"New Lots Av-bound 4 trains are running on the express track from Burnside Av to 125 St while crews repair third rail equipment at 149 St-Grand Concourse.
For bypassed stations, take a Woodlawn-bound 4 train.",bx 4 trains equipment repair,10:36:45,4,,
47,NYC,PM,MANH,track fire,2/4/2019,2/4/2019 8:54:00 PM,"Southbound N and Q trains are running on the R line from Canal St to DeKalb Av while FDNY responds to a track fire at Canal St.

Expect delays in N, Q, R, and W train service.",manh n and q trains track fire,8:54:00,"N, Q",other,
37,NYC,AM,QNS,track inspection,2/8/2019,2/8/2019 11:16:00 AM,7 trains are running at slower speeds from Queensboro Plaza to 69 St while we perform track inspections in that area.,qns 7 train track cleaning,11:16:00,7,,
20,NYC,PM,SI,track maintenance,2/16/2019,2/16/2019 5:12:35 PM,"Eastbound SIR train service is delayed while crews perform urgent track maintenance between Huguenot and Tottenville. 

Please allow for additional travel time.",si sir urgent track maintenance,5:12:35,,train,
42,NYC,PM,SI,track maintenance,2/7/2019,2/7/2019 1:17:26 PM,SIR is running with delays up to 10 mins in both directions while crews complete ongoing track maintenance between Great Kills and Grant City.,si sir trains track maintenance,1:17:26,,train,
0,NYC,AM,,track maintenance,2/13/2019,2/13/2019 12:57:35 AM,E trains are running at slower speeds in both directions because of track maintenance in the tunnel between Lexington Av-53 St and Court Square-23 St.,qns/manh e trains track maintenance,12:57:35,E,train,
42,NYC,PM,QNS,track maintenance,2/21/2019,2/21/2019 8:37:49 PM,Southbound E and F trains are running with delays because of track maintenance at 36 St-(QNS),qns e and f trains track maintenance,8:37:49,"E, F",train,
31,NYC,PM,QNS,track maintenance,2/7/2019,2/7/2019 12:03:56 PM,7 train service is running with delays in both directions while crews conduct track maintenance between Queens Plaza and 74 St-Broadway.,qns 7 train track maintenance,12:03:56,7,train,
42,NYC,AM,MANH,track maintenance,2/19/2019,2/19/2019 2:34:26 AM,"Northbound F and M trains are running express from W 4 St-Washington Sq to 34 St-Herald Sq because of temporary track maintenance at 23 St.

For bypassed stations take a southbound train.",manh f and m trains track maintenance,2:34:26,"F, M",train,
0,NYC,AM,MANH,track maintenance,2/20/2019,2/20/2019 1:41:03 AM,Coney Island-bound D trains are running on the local track from 145 St to 59 St-Columbus Circle while crews perform track maintenance at 125 St.,manh d trains track maintenance,1:41:03,D,train,
39,NYC,AM,MANH,track maintenance,2/19/2019,2/19/2019 2:47:56 AM,Brooklyn-bound D trains are delayed because of temporary track maintenance at 86 St.,manh d trains track maintenance,2:47:56,D,train,
41,NYC,AM,MANH,track maintenance,2/18/2019,2/18/2019 12:31:42 AM,Northbound D trains are delayed because of temporary track maintenance at W 4 St-Washington Sq.,manh d trains track maintenance,12:31:42,D,train,
42,NYC,PM,MANH,track maintenance,2/2/2019,2/2/2019 12:27:52 PM,Southbound A trains are momentarily making local stops from 125 St to 72 St while our crews are working on the express tracks.,manh a trains track maintenance,12:27:52,A,train,
47,NYC,AM,MANH,track maintenance,2/28/2019,2/28/2019 3:39:32 AM,Woodlawn-bound 4 trains are delayed while crews perform track maintenance at Fulton St.,manh 4 trains track maintenance,3:39:32,4,train,
5,NYC,AM,MANH,track maintenance,2/22/2019,2/22/2019 1:07:24 AM,Downtown 4 and 6 trains are running express from Grand Central-42 St to 14 St-Union Sq while we perform temporary track maintenance at Grand Central-42 St.,manh 4 and 6 trains temporary track maintenance,1:07:24,"4, 6",train,
12,NYC,AM,MANH,track maintenance,2/19/2019,2/19/2019 1:47:05 AM,Southbound 2 and 3 trains are delayed because of temporary track maintenance at Central Park North (110 St).,manh 2 and 3 trains track maintenance,1:47:05,"2, 3",train,
9,NYC,PM,MANH,track maintenance,2/15/2019,2/15/2019 3:20:08 PM,"Some northbound 1 trains will temporarily end service at 137 St-City College while crews perform track maintenance at Van Cortlandt Pk-242 St.

For service between 137 St-City College and Van Cortlandt Pk-242 St, consider using M4 bus service.",manh 1 train track maintenance,3:20:08,1,train,
38,NYC,AM,BX,track maintenance,2/5/2019,2/5/2019 1:18:10 AM,"Northbound D trains are running express from 145 St to Tremont Av while our crews perform temporary track maintenance at 167 St.

For bypassed stations take a southbound train.",bx d trains track maintenance,1:18:10,D,train,
38,NYC,PM,BX,track maintenance,2/14/2019,2/14/2019 9:31:41 PM,"5 trains are delayed in both directions while crews perform temporary track maintenance at Eastchester-Dyre Av.

Expect delays in both 2 and 5 train service.",bx 5 train track maintenance,9:31:41,5,train,
31,NYC,PM,BX,track maintenance,2/22/2019,2/22/2019 1:18:20 PM,241 St-bound 2 and Dyre Av-bound 5 trains are running with delays after earlier track maintenance at Simpson St.,bx 2 and 5 trains track maintenance,1:18:20,"2, 5",train,
16,NYC,PM,BKLYN,track maintenance,2/7/2019,2/7/2019 12:31:57 PM,Canarsie-bound L trains are delayed because of track maintenance at Canarsie-Rockaway Pkwy.,bklyn l train track maintenance,12:31:57,L,train,
1,NYC,AM,BKLYN,track maintenance,2/23/2019,2/23/2019 10:02:58 AM,J and M trains are delayed in both directions while we perform track maintenance at Flushing Av.,bklyn j and m trains track maintenance,10:02:58,"J, M",train,
43,NYC,PM,BKLYN,track maintenance,2/7/2019,2/7/2019 1:13:22 PM,"Broad St-bound J trains and 71 Av-bound M trains are running at slower speeds while crews perform urgent track maintenance from Myrtle Av-Broadway to Marcy Av.

Expect delays in J and M train service.",bklyn j and m train urgent track maintenance.,1:13:22,"J, M",train,
21,NYC,AM,BKLYN,track maintenance,2/28/2019,2/28/2019 2:17:02 AM,Southbound G trains are delayed while crews perform temporary track maintenance at Hoyt-Schermerhorn Sts.,bklyn g trains temporary track maintenance,2:17:02,G,train,
48,NYC,AM,BKLYN,track maintenance,2/28/2019,2/28/2019 6:28:46 AM,"Northbound D, N and R trains are delayed while we perform urgent track maintenance at 36 St (Bklyn).",bklyn d n and r trains urgent track maintenance,6:28:46,"D, N, R",train,
49,NYC,AM,BKLYN,track maintenance,2/28/2019,2/28/2019 3:37:36 AM,Church Av-bound G trains are delayed while crews perform urgent track maintenance at Hoyt-Schermerhorn Sts.,bklyn g trains urgent track repairs,3:37:36,G,,
27,NYC,PM,QNS,track replacement,2/11/2019,2/11/2019 3:40:57 PM,Northbound N and W trains are running express from Queensboro Plaza to Astoria-Ditmars Blvd because of a track replacement.,qns n and w trains track replacement,3:40:57,"N, W",,
34,NYC,PM,QNS,track replacement,2/4/2019,2/4/2019 12:57:48 PM,Main St-bound 7 trains are running at slower speeds near 46 St because of track replacement work we're doing in the area.,qns 7 train track replacement,12:57:48,7,,
3,NYC,AM,BX,track test train,2/27/2019,2/27/2019 10:22:12 AM,Southbound 4 and 5 trains are running with delays between 149 St-Grand Concourse and Franklin Av because of track test train in the area.,bx 4 and 5 trains test train,10:22:12,"4, 5",,
47,NYC,AM,BKLYN,track work,2/18/2019,2/18/2019 6:35:47 AM,"Northbound F train shuttle buses are detoured because of track work on McDonald AV at Cortelyou Rd. 

Detour is as follows:

Northbound: Via McDonald Av, left on 18 Av, right on Dahill Rd, right on Cortelyou Rd, left on McDonald Av and then resumed their regular route.",bklyn shuttle bus track work,6:35:47,,train,
16,NYC,PM,BX,tree branches,2/26/2019,2/26/2019 5:13:55 PM,"Northbound 5 trains are running express from E 180 St to Eastchester-Dyre Av because of fallen tree branches at Baychester Av.

Expect delays in 5 train service in both directions. 

For service to bypassed stations, consider using southbound 5 train service.",bx 5 trains fallen tree branches,5:13:55,5,other,
15,NYC,PM,SI,tree branches,2/18/2019,2/18/2019 3:59:08 PM,"There is no SIR train service between Jefferson Av and Great Kills because of a tree branch on the tracks. 

Shuttle buses will be provided for service between stations.",si sir trains tree branch on tracks,3:59:08,,,
45,NYC,AM,SI,tree branches,2/25/2019,2/25/2019 8:47:14 AM,Northbound SIR trains are running with delays after we removed a tree branch from the tracks near Huguenot.,si sir trains tree branch,8:47:14,,,
15,NYC,PM,MANH,unauthorized person,2/2/2019,2/2/2019 6:38:43 PM,R and Q trains are holding in stations in both directions between DeKalb Av and Canal St because of an unauthorized person on the tracks at Whitehall St.,manh r and q trains unauthorized person on the tracks,6:38:43,"R, Q",person,
31,NYC,PM,MANH,unauthorized person,2/27/2019,2/27/2019 11:53:45 PM,Southbound A and E trains are delayed because of an unauthorized person on the tracks at W 4 St-Washington Sq.,manh a and e trains unauthorized person on the tracks,11:53:45,"A, E",person,
46,NYC,AM,MANH,unauthorized person,2/19/2019,2/19/2019 2:24:11 AM,4 train service is proceeding with delays after an earlier investigation of a person on the tracks at Wall St.,manh 4 trains unauthorized person on the tracks,2:24:11,4,person,
35,NYC,PM,MANH,unauthorized person,2/18/2019,2/18/2019 2:51:27 PM,Southbound 4 5 trains are delayed while we investigate reports of an unauthorized person on the tracks at 86 St.,manh 4 and 5 trains unauthorized person on tracks,2:51:27,"4, 5",person,
3,NYC,AM,MANH,unauthorized person,2/2/2019,2/2/2019 8:12:47 AM,Northbound 4 and 5 trains are running with delays because of an unauthorized person on the tracks at 125 St.,manh 4 and 5 trains unauthorized person on the tracks,8:12:47,"4, 5",person,
42,NYC,PM,MANH,unauthorized person,2/9/2019,2/9/2019 7:01:05 PM,1 trains are running with delays in both directions while NYPD responds to reports of an unauthorized person on the tracks at 207 St.,manh 1 trains unauthorized person on tracks,7:01:05,1,person,
4,NYC,AM,BX,unauthorized person,2/2/2019,2/2/2019 1:12:51 AM,Northbound 6 trains are delayed because of an unauthorized person on the tracks at E 149 St.,bx 6 trains unauthorized person on the tracks,1:12:51,6,person,
49,NYC,PM,BX,unauthorized person,2/12/2019,2/12/2019 6:41:03 PM,Northbound 2 and 5 trains are running with delays because of an unauthorized person on the tracks at Nereid Av.,bx 2 and 5 trains unauthorized person on tracks,6:41:03,"2, 5",person,
20,NYC,AM,,unauthorized person,2/10/2019,2/10/2019 12:03:31 AM,J and M trains are delayed in both directions while NYPD responds to an unauthorized person on the tracks on the Williamsburg Bridge.,bklyn/manh j and m trains unauthorized person on the tracks,12:03:31,"J, M",person,
41,NYC,PM,BKLYN,unauthorized person,2/1/2019,2/1/2019 11:23:52 PM,R trains are delayed in both directions because of an unauthorized person on the tracks at Bay Ridge-95 St.,bklyn r trains unauthorized person on the tracks,11:23:52,R,person,
