no,which,ampm,borough,cause,date,message,subject,time,train
15,NYC,PM,BKLYN,nypd activity,11/17/19,Expect longer wait times for northbound N trains while we request NYPD assistance for a disruptive passenger at DeKalb Av.,bklyn n train nypd assistance,10:24:51,n
22,NYC,AM,MANH,police activity,11/17/19,Southbound 3 trains are delayed in both directions while we request police assistance at Times Sq-42 St.,manh 3 trains police activity,1:02:42,3
1,NYC,AM,BKLYN,police activity,11/17/19,Southbound A trains are delayed while we request police assistance for disruptive passenger at Jay St-MetroTech.,bklyn a trains police activity,5:58:09,a
5,NYC,AM,MANH,sick passenger,11/17/19,Northbound D trains are delayed while we request EMS to assist a sick passenger at W 4 St.,manh d train sick passenger,8:40:19,d
3,NYC,PM,MANH,sick passenger,11/17/19,Northbound 2 and 3 trains are running on the local track from Times Sq-42 St to 96 St while we get EMS assistance for a customer at 72 St.,manh 2 and 3 trains sick customer,11:19:20,"2, 3"
7,NYC,AM,BKLYN,sick passenger,11/17/19,Southbound A trains are running with delays while we request EMS assistance for a customer at Euclid Av.,bklyn a trains sick customer,1:42:06,a
13,NYC,AM,MANH,struck by train,11/17/19,Southbound 2 trains are delayed while emergency teams respond to someone struck by a train at 116 St-Columbia University.,manh 2 train person struck by train,8:08:50,2
44,NYC,PM,BX,switch problems,11/17/19,"4 Trains are delayed in both directions because of a switch problem at Woodlawn. Northbound 4 trains are stopping at Kingsbridge Rd.

See a station agent to request a courtesy pass for alternate northbound bus service at Kingsbridge Rd.",bx 4 train switch problem,12:15:41,4
10,NYC,AM,MANH,track maintenance,11/17/19,Southbound 2 and 3 trains are delayed because of track maintenance at 96 St.,manh 2 and 3 trains track maintenance,1:27:14,"2, 3"
9,NYC,AM,MANH,track maintenance,11/17/19,Northbound 1 trains are delayed while we conduct track maintenance at 116 St-Columbia Universtiy.,manh 1 train track maintenance,1:29:02,1
40,NYC,AM,MANH,track maintenance,11/17/19,"Bronx-bound 1 and 2 trains are running on the express track from Chambers St to 14 St because of track maintenance work at Houston St and 14 St. 

For service to/from bypassed stations, take a downtown train.",manh 1 and 2 trains track maintenance work,3:00:00,"1, 2"
10,NYC,AM,MANH,unauthorized person,11/17/19,"Uptown 4 and 6 trains are running on the express track from Grand Central-42 St to 125 St while we remove power for police to remove an unauthorized person on the tracks at 96 St.

During this time, trains will stop at the lower-level platforms at 59 St and 86 St. 

For service to/from bypassed stations, take a downtown train.",manh 4 and 6 trains unauthorized person on the tracks,5:40:28,"4, 6"
14,NYC,PM,QNS,police assistance,11/17/19,N trains are running with delays in both directions while we request police assistance at Astoria-Ditmars Blvd.,qns n trains police assistance,8:12:15,n
27,NYC,PM,MANH,disruptive passenger,11/17/19,Southbound N and R trains are delayed while we request police assistance for a disruptive person at 57 St-7 Av.,manh n and r trains disruptive person,12:49:29,"n, r"
4,NYC,AM,MANH,unauthorized person on track,11/17/19,You may experience longer waits in northbound F train service after we responded to an unauthorized person on the tracks at 2 Av.,manh f train person on the track,8:42:45,f
26,NYC,PM,MANH,person on tracks,11/17/19,"Southbound C trains are running on the express track from 59 St-Columbus Circle to Canal St and southbound E trains are running on the express track from 42 St-Port Authority to Canal St while we investigate reports of someone on the tracks at W 4 St-Washington Sq. 

For service to/from bypassed stops, take a northbound train.",manh c and e trains person on tracks,7:26:16,"c, e"
19,NYC,AM,BKLYN,nypd activity,11/17/19,Northbound R trains are proceeding with delays after NYPD completed an investigation at Atlantic Av-Barclays Ctr.,bklyn r,10:40:07,r
2,NYC,AM,BKLYN,removed a train from service,11/17/19,Coney Island-bound F trains are delayed while we remove a train from service at Jay St-MetroTech.,bklyn f train train removal,1:53:38,f
25,NYC,AM,BX,brakes activated,11/18/19,Southbound 6 trains are holding in the stations while we investigate why a train's brakes were activated at 3 Av-138 St.,bx 6 trains brakes activated,7:19:53,6
9,NYC,AM,BKLYN,brakes activated,11/18/19,"Northbound Q trains are running express from Kings Hwy to Prospect Park while we investigate why a train's brakes were activated at Cortelyou Rd.

Expect delays in northbound service.

For service to/from bypassed stations, take a southbound train.",bklyn q train brakes activated,11:01:58,q
18,NYC,AM,BKLYN,brakes activated,11/18/19,"Southbound Q trains are running express from Prospect Park to Kings Hwy while we investigate why another train's brakes were activated at Cortelyou Rd.

Expect delays in southbound service.

For service to/from bypassed stations, take a northbound train.",bklyn q train brakes activated,10:32:10,q
40,NYC,AM,BKLYN,brakes activated,11/18/19,"Southbound Q trains are running express from Prospect Park to Kings Hwy while we investigate what activated a train's brakes at Cortelyou Rd.

Expect delays in southbound service.

For service to/from bypassed stations, take a northbound train.",bklyn q train brakes activated,9:51:23,q
30,NYC,AM,BKLYN,brakes activated,11/18/19,Northbound N trains are running on the express track from Kings Hwy to 8 Av while we investigate why a train's brakes were activated at 8 Av.,bklyn n trains brakes activated,11:55:52,n
6,NYC,AM,BKLYN,brakes activated,11/18/19,Expect delays on northbound B trains while they share the express tracks with Q trains as we investigate why a train's brakes were activated at Cortelyou Rd,bklyn b train brakes activated,11:05:09,b
31,NYC,PM,BKLYN,disruptive passenger,11/18/19,You may experience longer waits for J and M trains in both directions after NYPD responded to disruptive passengers at Myrtle Av.,bklyn j and m trains disruptive passengers,9:11:42,"j, m"
47,NYC,AM,MANH,door problems,11/18/19,Northbound B and D trains are delayed while we investigate a door problem on a train at Grand St.,manh b and d trains door problem,6:40:11,"b, d"
41,NYC,AM,MANH,earlier incident,11/18/19,Expect longer waits for northbound E trains after some F and M trains were rerouted onto that line because of an unauthorized person on the tracks and a switch problem.,manh e train earlier incidents,8:20:44,e
33,NYC,PM,MANH,earlier incident,11/18/19,Expect longer wait times for southbound C and E train service after we removed an earlier train with a door problem from service at W 4 St-Wash Sq.,manh c and e trains door problem-earlier incident,6:43:32,"c, e"
13,NYC,PM,MANH,investigation,11/18/19,Expect longer wait times in northbound 1 train service after NYPD concluded an investigation at 28 St.,manh 1 trains nypd investigation-earlier incident,2:35:58,1
47,NYC,PM,QNS,mechanical problems,11/18/19,"There are delays and multiple impacts to southbound E, M and R service because of a train with mechanical problems at Forest Hills-71 Av.

Southbound E trains are running on the local track from Forest Hills-71 Av to Queens Plaza.

Manhattan-bound M and R trains are delayed while everything runs on the local track.",qns e m r trains mechanical problems,6:00:14,"e, m, r"
6,NYC,AM,BKLYN,mechanical problems,11/18/19,Canarsie-bound L trains are delayed while we remove a train with a mechanical problem from service at Graham Av.,bklyn l train mechanical problem,9:19:54,l
2,NYC,PM,BKLYN,mechanical problems,11/18/19,Expect longer waits for a Court Square-bound G train while we remove a train with mechanical problems from service at Church Av.,bklyn g trains mechanical problem,8:30:02,g
11,NYC,PM,BKLYN,mechanical problems,11/18/19,Northbound F trains are running on the local track from Kings Hwy to Ditmas Av while we work to move a train with mechanical problems at Kings Hwy.,bklyn f trains mechanical problems,5:43:32,f
33,NYC,PM,MANH,medical problems,11/18/19,Southbound 6 trains are stopping along the 4 line from Brooklyn Bridge-City Hall and are ending at Bowling Green while we request EMS assistance for someone at Brooklyn Bridge-City Hall.,manh 6 trains medical assistance,5:11:00,6
48,NYC,AM,MANH,medical problems,11/18/19,Northbound 6 trains are holding in the stations while we get medical help for a passenger at 96 St.,manh 6 trains medical assistance,8:08:35,6
25,NYC,AM,MANH,medical problems,11/18/19,Southbound 4 and 5 trains are proceeding with delays after we held a train with someone who needed medical assistance at Grand Central-42 St.,manh 4 and 5 trains medical assistance,10:13:48,"4, 5"
3,NYC,AM,MANH,medical problems,11/18/19,"Southbound 2 and 3 trains are running on the local track from 72 St to Times Sq-42 St while we remove a train from service at 72 St so the crew can wait with a customer who needs medical help.

Expect delays in southbound service.",manh 2 and 3 trains medical help,8:01:22,"2, 3"
15,NYC,AM,BX,medical problems,11/18/19,Southbound 2 and 5 trains are delayed while we get medical help for someone at 149 St-Grand Concourse.,bx 2 and 5 trains medical help,9:07:25,"2, 5"
35,NYC,AM,BKLYN,medical problems,11/18/19,Customers on northbound Q trains should expect delays while they share the local track with B trains as we get medical help for someone at Kings Hwy.,bklyn q train medical help,8:36:56,q
39,NYC,AM,BKLYN,medical problems,11/18/19,"Northbound B trains are running on the local track from Kings Hwy to Prospect Park while we get medical help from someone at Kings Hwy.

Expect delays in northbound service.",bklyn b train medical help,8:32:03,b
44,NYC,AM,MANH,police activity,11/18/19,Southbound B D F and M trains are bypassing B'Way-Lafayette because of a police investigation at that station.,manh b d f and m trains police activity,5:25:40,"b, d, f, m"
48,NYC,PM,BKLYN,rail repair,11/18/19,G trains are holding in stations in both directions while our crews perform urgent rail repairs near Bedford-Nostrand Avs.,bklyn g trains urgent rail repairs,8:47:43,g
25,NYC,PM,MANH,removed a train from service,11/18/19,Expect longer wait times for southbound 2 and 3 trains after we removed a train with mechanical problems from service at 34 St-Penn Station.,manh 2 and 3 trains train removed from service,3:18:13,"2, 3"
25,NYC,AM,MANH,sick passenger,11/18/19,Northbound N trains are delayed while we get EMS assistance for a customer a Prince St.,manh n trains sick customer,4:18:58,n
17,NYC,PM,MANH,sick passenger,11/18/19,"Southbound 6 trains are running on the express track from 125 St to Grand Central-42 St while we get EMS assistance for a customer at 103 St.

For service to/from the bypassed stations, take a northbound train.",manh 6 trains sick customer,10:33:59,6
35,NYC,PM,BX,signal malfunction,11/18/19,Southbound 2 trains are moving at slower speeds near 219 St because of a signal malfunction at that station.,bx 2 trains signal malfunction,5:03:55,2
2,NYC,PM,BKLYN,signal malfunction,11/18/19,L trains are delayed in both directions while we work to correct a signal malfunction at Broadway Junction.,bklyn l trains signal malfunction,5:53:17,l
21,NYC,PM,BKLYN,signal malfunction,11/18/19,Expect longer wait times for northbound A and C trains following an earlier signal malfunction at High St.,bklyn a and c trains signal malfunction,2:18:33,"a, c"
47,NYC,PM,QNS,signal problems,11/18/19,Jamaica Center-bound J trains are running at slower speeds while we work to correct a signal problem north of 111 St.,qns j trains signal problem,4:30:45,j
45,NYC,AM,QNS,signal problems,11/18/19,E trains are delayed in both directions because of a signal problem at Jamaica Center-Parsons/Archer.,qns e train signal problem,6:45:40,e
38,NYC,PM,QNS,signal problems,11/18/19,"A service is suspended between Lefferts Blvd-Ozone Park and Rockaway Blvd in both directions because of a signal problem at Rockaway Blvd.

Expect delays in both directions.

Please see a station agent to receive a courtesy pass for continuing subway or bus service.

For service between Rockaway Blvd and Lefferts Blvd, use nearby Q8 bus service.

Also consider using crosstown buses to reach the J line:
*111 St: Take Q37 bus service to/from 111 St J.
*Lefferts Blvd-Ozone Park: Take Q10 bus service to/from 121 St J.",qns a train signal problem,1:28:26,a
47,NYC,AM,QNS,signal problems,11/18/19,"A service is suspended between Lefferts Blvd-Ozone Park and Rockaway Blvd in both directions because of a signal problem at Rockaway Blvd.

Expect delays in both directions.

Please see a station agent to receive a courtesy pass for continuing subway or bus service.

For service between Rockaway Blvd and Lefferts Blvd, use nearby Q8 bus service.

Also consider using crosstown buses to reach the J line:
*111 St: Take Q37 bus service to/from 111 St J.
*Lefferts Blvd-Ozone Park: Take Q10 bus service to/from 121 St J.",qns a train signal problem,9:46:40,a
44,NYC,PM,MANH,signal problems,11/18/19,Metropolitan Av-bound M trains are delayed because of a signal problem at Essex St.,manh m train signal problem,1:15:57,m
1,NYC,PM,BKLYN,signal problems,11/18/19,Southbound R trains are running with delays in Brooklyn while we address a signal problem near Bay Ridge-95 St.,bklyn r trains signal problem,8:33:39,r
34,NYC,AM,SI,slippery rails,11/18/19,SIR trains are running with delays in both directions because of slippery rail conditions.,si sir trains slippery rails,5:37:10,
17,NYC,AM,MANH,switch problems,11/18/19,"There are multiple impacts and delays in F and M service because of a switch problem at 47-50 Sts Rockefeller Ctr.

There is no southbound service on the F line into Manhattan:

Some southbound F trains are running on the E line from Jackson Hts-Roosevelt Av to W 4 St-Wash Sq.

Some southbound F trains are running on the E line from Jackson Hts-Roosevelt Av to Court Sq and then on the G line to Bergen St.
Southbound M trains are running on the E line from 5 Av/53 St to W 4 St-Wash Sq.",manh f and m trains switch problem,7:34:23,"f, m"
5,NYC,AM,BX,switch problems,11/18/19,There are no southbound 6 express trains in the Bronx while we work to correct a switch problem at 125 St.,bx 6 trains switch problem,9:20:09,6
1,NYC,AM,BX,switch problems,11/18/19,Expect longer wait time for southbound 2 trains while we work to correct a switch problem at 125 St and Lexington Av.,bx 2 trains switch problem,9:32:31,2
30,NYC,AM,MANH,track maintenance,11/18/19,"Northbound 1 and 2 trains are running on the express track from 72 St to 96 St because of track maintenance at 96 St.

For service to/from the bypassed stations, take a northbound train.",manh 1 and 2 trains track maintenance,4:02:50,"1, 2"
23,NYC,AM,MANH,unauthorized person,11/18/19,Customers on southbound F and M trains should expect delays while they share the local track with B and D trains as we get NYPD for an unauthorized person on the tracks at 34 St-Herald Sq.,manh f and m trains unauthorized person on the tracks,7:22:19,"f, m"
7,NYC,AM,MANH,unauthorized person,11/18/19,Southbound D trains are proceeding with delays after police responded to reports of an unauthorized person on the tracks at B'Way-Lafayette.,manh d trains unauthorized person on the tracks,5:04:38,d
37,NYC,AM,MANH,unauthorized person,11/18/19,"Southbound B and D trains are running on the local track from 34 St-Herald Sq to W 4 St-Wash Sq while we get NYPD for an unauthorized person in the track area at 34 St-Herald Sq.

Expect delays in southbound service.",manh b and d trains unauthorized person on the tracks,7:00:11,"b, d"
38,NYC,PM,MANH,unauthorized person,11/18/19,Expect delays in southbound 2 and 3 train service as they share the track with 1 trains while we request NYPD assistance with an unauthorized person on the tracks at Christopher St-Sheridan Sq.,manh 2 and 3 trains unauthorized person on tracks,4:54:04,"2, 3"
13,NYC,AM,MANH,unauthorized person,11/18/19,Northbound 2 and 3 trains are proceeding with delays after an unauthorized person left the tracks near 110 St.,manh 2 and 3 trains unauthorized person on the tracks,10:51:44,"2, 3"
39,NYC,PM,MANH,unauthorized person,11/18/19,"Southbound 1 trains are running express from 14 St to Chambers St while we request NYPD assistance with an unauthorized person on the tracks at Christopher St-Sheridan Sq.

For service to/from bypassed stations, use northbound 1 trains.",manh 1 trains unauthorized person on tracks,4:50:55,1
21,NYC,AM,MANH,unsanitary train,11/18/19,Northbound A and D trains are delayed while we isolate a car with a soiled interior at 59 St-Columbus Circle.,manh a and d trains soiled interior,10:23:50,"a, d"
5,NYC,PM,MANH,work trains,11/18/19,"Southbound 6 trains are running on the express track from Grand Central-42 St to 14 St-Union Sq because of a stalled work train at 42 St.

For service to/from the bypassed stations, take a northbound train.",manh 6 trains stalled work train,11:35:06,6
17,NYC,AM,,network communications issue,11/18/19,7 trains are running with delays in both directions because of network communication issues.,qns/manh 7 trains network communication issues,1:31:07,7
36,NYC,AM,QNS,customer on the tracks,11/18/19,"Southbound E, M and R trains are delayed while we request EMS and NYPD assistance for a customer on the tracks at Steinway St.",qns e m and r trains customer on the tracks,5:33:11,"e, m, r"
16,NYC,AM,MANH,rail replacement work,11/18/19,Bronx-bound D trains are running on the local track from 59 St-Columbus Circle to 135 St while our crews replace rails at 125 St.,manh d trains rail replacement,1:32:39,d
10,NYC,AM,MANH,rail replacement work,11/18/19,Southbound 1 trains are delayed while we replace rails at Chambers St.,manh 1 train rail replacement,1:43:09,1
31,NYC,PM,BKLYN,brake activation,11/18/19,Forest Hills-bound M trains are delayed while we reset a train's brakes after someone pulled the cord at Myrtle-Wyckoff Avs.,bklyn m trains pulled cord,5:13:23,m
21,NYC,AM,QNS,brakes activated,11/19/19,"Northbound N, R and W trains are delayed because a train's brakes were activated near Queensboro Plaza.",qns n r and w trains brakes activated,7:24:31,"n, r, w"
20,NYC,AM,QNS,brakes activated,11/19/19,Metropolitan Av-bound M trains and 95 St-bound R trains are delayed while we investigate why a train's brakes were activated near Steinway St.,qns m and r trains train with brakes activated,8:43:24,"m, r"
17,NYC,AM,QNS,brakes activated,11/19/19,Southbound E and F trains are delayed while M and R trains share the express track as we investigate why a train's brakes were activated near Steinway St.,qns e and f trains train with brakes activated,8:50:16,"e, f"
46,NYC,PM,MANH,brakes activated,11/19/19,7 trains are delayed in both directions while we investigate why a train's brakes were activated at 34 St-Hudson Yards.,manh 7 trains brakes activated,2:55:38,7
46,NYC,PM,MANH,brakes activated,11/19/19,"There are delays and multiple impacts in 4 and 5 train service while we investigate why a train's brakes were activated at Wall St.

Northbound 4 trains are ending at Atlantic Av-Barclays Ctr. 

Northbound 5 trains are stopping along the 2 line from Nevins St to 149 St-Grand Concourse.",manh 4 and 5 trains brakes activated,4:06:29,"4, 5"
43,NYC,AM,MANH,brakes activated,11/19/19,Northbound 1 trains are proceeding with delays after someone pulled a train's emergency brake cord at 137 St-City College.,manh 1 trains brakes activated,2:11:00,1
13,NYC,PM,BKLYN,brakes activated,11/19/19,"There is no N train service between Kings Highway and 86 St (BKLYN) while we investigate why a train's brakes were activated at 86 St. 

N trains are running between Astoria-Ditmars Blvd and Kings Highway. 

For service to/from Avenue U and 86 St, see a station agent to request a free courtesy pass for nearby B4 bus service.

Expect delays in N service in both directions.",bklyn n trains train with brakes activated,12:22:03,n
10,NYC,PM,BKLYN,brakes activated,11/19/19,F trains are running with delays in both directions while we investigate why a train's brakes were activated at W 8 St-NY Aquarium.,bklyn f trains brakes activated,2:27:22,f
41,NYC,PM,BKLYN,brakes activated,11/19/19,Southbound 2 and 5 trains are running with delays while we investigate why a train's brakes were activated at Church Av.,bklyn 2 and 5 trains brakes activated,8:41:30,"2, 5"
6,NYC,PM,MANH,disruptive passenger,11/19/19,Northbound B and C trains are delayed while we request NYPD assistance for a disruptive passenger at 103 St.,manh b and c trains disruptive passenger,3:48:34,"b, c"
47,NYC,PM,BX,disruptive passenger,11/19/19,Southbound 6 trains are running with delays while we request police assistance for disruptive passengers at Elder Av.,bx 6 train disruptive passengers,5:51:21,6
25,NYC,PM,MANH,door problems,11/19/19,Northbound R and W trains are delayed while our crews work to move a train with a door malfunction at 34 St-Herald Sq.,manh r and w trains door malfunction,2:12:13,"r, w"
38,NYC,AM,BKLYN,investigation,11/19/19,"Broad St-bound J trains are running on the express track from Broadway Junction to Myrtle Av while NYPD conducts an investigation on a train at Halsey St.

For service to/from bypassed stations, use Jamaica Center-bound J service.",bklyn j trains nypd investigation,11:40:48,j
28,NYC,PM,QNS,mechanical problems,11/19/19,34 St-Hudson Yards-bound 7 trains are delayed while we work to correct a mechanical problem on a train at Queensboro Plaza.,qns 7 trains mechanical problem,9:01:44,7
5,NYC,PM,MANH,mechanical problems,11/19/19,Southbound B and D trains are running with delays while we investigate a train with mechanical problems at 155 St.,manh b and d trains mechanical problems,5:40:30,"b, d"
15,NYC,AM,,mechanical problems,11/19/19,Expect longer waits for G trains in both directions after we removed a train with a mechanical problem from service.,bklyn/qns g train mechanical problem,8:53:11,g
14,NYC,AM,"BKLYN, QNS",mechanical problems,11/19/19,Expect longer waits for G trains in both directions after we removed a train with a mechanical problem from service.,bklyn and qns g trains train with mechanical problems,8:53:12,g
29,NYC,PM,MANH,medical problems,11/19/19,Southbound C trains are delayed while we request medical assistance for someone at 168 St.,manh c trains medical assistance,3:10:30,c
5,NYC,AM,MANH,medical problems,11/19/19,"Southbound 4 and 5 trains are running on the local track from Grand Central-42 St to 14 St-Union Sq while we get medical help for someone at Grand Central-42 St.

Expect delays in southbound service.",manh 4 and 5 trains medical help,9:12:59,"4, 5"
0,NYC,PM,MANH,medical problems,11/19/19,3 trains are delayed in both directions while we request medical assistance for someone at Harlem-148 St.,manh 3 trains medical assistance,5:47:45,3
30,NYC,PM,BKLYN,medical problems,11/19/19,"Southbound Q trains are running on the express track from Prospect Park to Kings Hwy while we provide medical help to someone at Cortelyou Rd.

For service to/from bypassed stations, take a northbound Q train.",bklyn q trains medical assistance,9:00:37,q
19,NYC,PM,BKLYN,medical problems,11/19/19,"Southbound C trains are running express from Hoyt-Schermerhorn to Broadway Junction while we request medical assistance for someone at Lafayette Av.

For service to/from bypassed stations, use northbound C train service.",bklyn c trains medical assistance,3:32:41,c
17,NYC,PM,BKLYN,medical problems,11/19/19,Expect delays in southbound A train service as they share the track with C trains while we request medical assistance for someone at Lafayette Av.,bklyn a trains medical assistance,3:33:31,a
44,NYC,AM,QNS,nypd activity,11/19/19,"34 St-bound 7 trains are running express from 74 St-Broadway to Queensboro Plaza while we request NYPD assistance at 46 St-Bliss St.

For service to/from bypassed stations, take a Main St-bound train.",qns 7 train nypd assistance,11:34:37,7
12,NYC,PM,BKLYN,signal malfunction,11/19/19,"There is no L train service between E 105 St and Canarsie-Rockaway Pkwy in either direction because of a signal malfunction at Canarsie-Rockaway Pkwy.

Please see a station agent to receive a courtesy pass for continuing subway or bus service.",bklyn l trains signal malfunction,9:49:25,l
7,NYC,AM,QNS,signal problems,11/19/19,"Queens-bound N, R and W trains are delayed while we work to address a signal problem at Queensboro Plaza.",qns n r and w trains signal problem,9:10:09,"n, r, w"
11,NYC,PM,MANH,struck by train,11/19/19,Northbound N and Q trains are running with delays while we request police and EMS assistance for a person struck by a train at 14 St-Union Sq.,manh n and q trains person struck by a train,3:39:38,"n, q, a"
2,NYC,PM,"MANH, BKLYN",switch problems,11/19/19,L trains are delayed in both directions while we work to address a switch problem at Rockaway Parkway.,manh and bklyn l trains switch problem,12:55:41,l
8,NYC,PM,MANH,track maintenance,11/19/19,"59 St-bound A, D and Queens-bound E trains are delayed because of congestion caused by FASTRACK maintenance in Manhattan.",manh a d e trains fastrack maintenance,10:04:02,"a, d, e"
16,NYC,AM,MANH,unsanitary train,11/19/19,Southbound 1 trains are delayed while we isolate a car with a soiled interior at 96 St.,manh 1 train soiled interior,7:28:05,1
23,NYC,PM,BX,unsanitary train,11/19/19,Northbound 2 and 5 trains are delayed while we remove a soiled car from service at 149 St-Grand Concourse.,bx 2 and 5 trains soiled car,9:23:05,"2, 5"
4,NYC,PM,MANH,person stuck by a train,11/19/19,Expect longer wait times for northbound R and W train service while police and EMS assist a person that was struck by a train at 14 St-Union Sq.,manh r and w trains person stuck by a train,3:50:58,"r, w, a"
41,NYC,AM,MANH,rail replacement work,11/19/19,Times Sq-bound 3 trains are running on the local track from 96 St to 72 St while crews replace rails at 72 St.,manh 3 trains rail replacement,2:17:28,3
17,NYC,AM,MANH,rail replacement work,11/19/19,Uptown 3 trains are running on the local track from 72 St to 96 St while crews replace rails at 72 St.,manh 3 trains rail replacement,1:20:17,3
18,NYC,AM,BKLYN,rail replacement work,11/19/19,Southbound N trains are holding in stations while crews replace rails at 59 St (BKLYN).,bklyn n trains rail replacement,2:52:06,n
38,NYC,AM,,brakes activated,11/20/19,"Southbound 2, 3, 4 and 5 trains are delayed while our crews investigate a train that had its brakes activated at Franklin Av.",manh/bklyn 2 3 4 and 5 trains brakes activated,9:08:17,"2, 3, 4, 5"
20,NYC,AM,MANH,brakes activated,11/20/19,Southbound 1 and 2 trains are proceeding with delays after we moved a train that had its brakes activated at Chambers St.,manh 1 and 2 trains brakes activated,2:35:00,"1, 2"
10,NYC,PM,,brakes activated,11/20/19,R trains are running with delays in both directions while we investigate why a train's brakes were activated at Bay Ridge-95 St.,bkyln r trains brakes activated,4:25:29,r
5,NYC,AM,BKLYN,brakes activated,11/20/19,There's no D trains between Bay Pkwy and Coney Island-Stillwell Av while we investigate the cause of a train's brakes activating at Coney Island-Stillwell Av.,bklyn d trains brakes activated,10:31:50,d
43,NYC,PM,BKLYN,brakes activated,11/20/19,Southbound B and D trains are delayed while we investigate why a train's brakes were activated near DeKalb Av.,bklyn b and d trains brakes activated,8:40:06,"b, d"
19,NYC,AM,,customer altercation,11/20/19,Expect a longer wait for southbound D trains after NYPD responded to a customer altercation at 155 St.,manh. d trains customer altercation,9:45:09,d
49,NYC,PM,MANH,disruptive passenger,11/20/19,Jamaica-bound J and Metropolitan Av-bound M trains are delayed while NYPD responds to a disruptive customer at Delancey St-Essex St.,manh j and m trains disruptive passenger,8:24:29,"j, m"
46,NYC,PM,MANH,disruptive passenger,11/20/19,Expect delays in 4 and 5 train service in both directions after we request NYPD assistance for a disruptive passenger at 59 St.,manh 4 and 5 trains disruptive passenger,6:37:01,"4, 5"
3,NYC,PM,MANH,disruptive passenger,11/20/19,Southbound 2 and 3 trains are running on the local track from 96 St to 72 St while NYPD responds to a disruptive passenger at 96 St,manh 2 and 3 trains disruptive passenger,8:16:35,"2, 3"
45,NYC,PM,BKLYN,disruptive passenger,11/20/19,Expect delays in northbound A and C train service after NYPD removed a disruptive passenger from a train at High St.,bklyn a and c trains disruptive passenger,6:38:56,"a, c"
12,NYC,AM,MANH,door problems,11/20/19,Expect a longer wait for 168 St-bound C and Jamaica-bound E trains while we remove a train with door problems from service at Port Authority-42 St.,manh c and e trains door problems,9:58:53,"c, e"
28,NYC,AM,MANH,door problems,11/20/19,Southbound 2 and 3 trains are delayed because of a train with door problems at Park Place.,manh 2 and 3 trains door problems,8:06:35,"2, 3"
0,NYC,AM,BX,door problems,11/20/19,Southbound 4 trains are delayed while we remove a train with door problems from service at 149 St-Grand Concourse.,bx 4 trains door problems,6:56:59,4
13,NYC,AM,BKLYN,door problems,11/20/19,Southbound A and C trains are proceeding with delays after we corrected a train with door problems at High St.,bklyn a and c trains door problems,8:34:13,"a, c"
47,NYC,PM,BX,fdny,11/20/19,Southbound 6 trains are delayed while FDNY investigates reports of smoke at 3 Av-138 St.,bx 6 trains fdny investigation,8:27:04,6
46,NYC,AM,,mechanical problems,11/20/19,Gravesend-bound N trains are delayed because of a work train experiencing a mechanical problem in the tunnel between Queensboro Plaza and Lexington Av-59 St.,manh/qns n trains mechanical problems,4:18:08,n
30,NYC,AM,BKLYN,mechanical problems,11/20/19,Expect longer waits for northbound D and N trains after we removed a train with a mechanical problem from service at Atlantic Av-Barclays Center,bklyn d and n trains mechanical problems,9:24:07,"d, n"
20,NYC,PM,MANH,medical problems,11/20/19,"Northbound 6 trains are running express from 14 St-Union Sq to Grand Central-42 St while we request EMS assistance for someone at 28 St. 

For service to/from bypassed stations, take a southbound 6 train.",manh 6 trains medical assistance,1:57:55,6
15,NYC,PM,BKLYN,medical problems,11/20/19,Northbound Q trains are delayed while we request EMS assistance for someone at Atlantic Av-Barclays Ctr.,bklyn q trains medical assistance,9:38:39,q
2,NYC,PM,BX,removed a train from service,11/20/19,Expect longer wait times for northbound 4 train service after we removed a train with mechanical problems from service at 176 St.,bx 4 trains train removed from service,10:13:21,4
42,NYC,AM,MANH,sick passenger,11/20/19,"There are delays and major impacts on the B and D while we get medical help for someone at 47-50 Sts-Rockefeller Center. 

Southbound B trains are running on the C  line from 59 St-Columbus Circle to W 4 St-Washington Sq, then via the F  line to Coney Island-Stillwell Av. 

Southbound D trains will run via the A line from 59 St-Columbus Circle to Jay St-MetroTech, then via the F line to Coney Island-Stillwell Av.",manh b and d trains sick passenger,9:03:02,"b, d"
13,NYC,AM,BX,sick passenger,11/20/19,Northbound 6 trains are delayed while we get EMS assistance for a customer at Whitlock Av.,bx 6 trains sick customer,12:53:00,6
31,NYC,PM,MANH,signal malfunction,11/20/19,Northbound F trains are moving at slower speeds while we work to correct a signal malfunction at Avenue P.,manh f trains signal malfunction,8:56:11,f
17,NYC,PM,MANH,signal malfunction,11/20/19,"Expect longer wait times in southbound B, C and D train service after we corrected a signal malfunction at 145 St.",manh b c and d trains signal malfunction,5:19:51,"b, c, d"
4,NYC,PM,BKLYN,signal problems,11/20/19,Southbound D trains are running at slower speeds while we work to correct a signal problem north of Dekalb Av.,bklyn d trains signal problem,10:08:41,d
3,NYC,AM,MANH,switch problems,11/20/19,Southbound N and W trains are delayed because of a switch problem at Lexington Av/59 St.,manh n and w trains switch problem,10:36:04,"n, w"
16,NYC,PM,MANH,switch problems,11/20/19,Northbound 1 trains are delayed because of a switch problem near 137 St-City College.,manh 1 train switch problem,11:55:59,1
25,NYC,AM,MANH,track maintenance,11/20/19,Jamaica-bound J trains are arriving/departing on the Broad St-bound track at Broad St because of track maintenance at that station.,manh j trains track maintenance,2:09:23,j
